scenario_id,mis_spec,truth,max_spd_med,Gamma_end_med,rESS_min_med,tail_share_max_med,est_range,direction_note,delta_star_display,grade,dominant_flags,template_revised
S01,0,non_null,0.106,0.065,0.884,0.023,0.106,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S02,0,non_null,0.107,0.067,0.888,0.022,0.1,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S03,0,non_null,0.105,0.068,0.895,0.022,0.1,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S04,0,non_null,0.188,0.533,0.931,0.023,0.108,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S05,0,non_null,0.265,0.93,0.931,0.023,0.112,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S06,0,non_null,0.353,1.351,0.93,0.023,0.103,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S07,0,non_null,0.319,0.849,0.914,0.023,0.097,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S08,0,non_null,0.534,1.537,0.911,0.023,0.101,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S09,0,non_null,0.788,2.24,0.907,0.023,0.104,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S10,0,non_null,0.379,1.273,0.939,0.024,0.11,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S11,0,non_null,0.63,2.275,0.933,0.025,0.106,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S12,0,non_null,0.953,3.428,0.937,0.024,0.117,direction change noted,>2.0 (no tipping within evaluated range),Red,high_pressure; high_cumulative_pressure; extreme_signal,"Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. Selection pressure increased over follow-up, suggesting prognosis-dependent deviation. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S13,0,non_null,0.301,0.485,0.865,0.026,0.101,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S14,0,non_null,0.543,0.872,0.863,0.026,0.104,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S15,0,non_null,0.808,1.296,0.866,0.025,0.095,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S16,0,non_null,0.353,0.913,0.911,0.027,0.122,direction change noted,>2.0 (no tipping within evaluated range),Amber,specification_instability,Diagnostics suggested potential fragility; conclusions should be interpreted with the pre-specified sensitivity results. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags.
S17,0,non_null,0.604,1.609,0.909,0.027,0.106,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S18,0,non_null,0.953,2.467,0.913,0.026,0.123,direction change noted,>2.0 (no tipping within evaluated range),Red,high_pressure; high_cumulative_pressure; specification_instability; extreme_signal,"Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. Selection pressure increased over follow-up, suggesting prognosis-dependent deviation. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S01,1,non_null,0.106,0.065,0.888,0.022,0.108,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S02,1,non_null,0.107,0.067,0.886,0.022,0.095,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S03,1,non_null,0.105,0.068,0.899,0.021,0.1,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S04,1,non_null,0.188,0.533,0.931,0.022,0.11,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S05,1,non_null,0.265,0.93,0.931,0.022,0.112,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S06,1,non_null,0.353,1.351,0.926,0.022,0.104,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
